title,id,handle,vendor,type,creation_date,availability,sku,price,original_price,img
The Charlie Tan,4.51864E+12,charlie-tan,HELM,Sneakers,2020-05-07T12:46:40-05:00,TRUE,HBB805007,225,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-tan-16045641990206.jpg?v=1597255600
The Charlie Black,4.47846E+12,charlie-black,HELM,Sneakers,2020-04-09T14:08:58-05:00,TRUE,HBB801007,225,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16049130963006.jpg?v=1597275284
The Knox Natural,4.80435E+12,the-knox-natural,HELM,Sneakers,2021-01-26T12:23:38-06:00,TRUE,HB3202006,225,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983468298302.jpg?v=1615500930
The Knox Black,4.80434E+12,the-knox-black,HELM,Sneakers,2021-01-26T12:09:40-06:00,TRUE,HB3201006,225,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-black-27983455977534.jpg?v=1615832576
HELM Boot Care Kit,8630016402,helm-boot-care-kit,HELM,Boot Care,2016-12-21T13:17:11-06:00,TRUE,HLMKIT_001,65,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boot-care-helm-boot-care-kit-5814579560510.jpg?v=1554737647
Blackrock Leather 'n Rich,5805066821,blackrock-leather-n-rich,HELM Boots,Boot Care,2016-06-20T14:39:52-05:00,TRUE,BLCKRK001,10,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boot-care-blackrock-leather-n-rich-11762694213.jpg?v=1512675442
Venetian Leather Balm,121342762,vscream,Venetian Shoe Cream,Boot Care,2013-02-13T14:33:49-06:00,FALSE,9999999,10,,https://cdn.shopify.com/s/files/1/0048/2912/products/venetian-shoe-cream-boot-care-venetian-shoe-cream-16000130185.jpg?v=1512677208
Hollis Onyx,4.58912E+12,hollis-onyx,HELM,Boots,2020-06-10T14:14:14-05:00,TRUE,HBB508006,269,350,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-onyx-16525176930366.jpg?v=1604082834
HELM Logo Cap - Black,4.76176E+12,helm-logo-cap-black,HELM Boots,Accessories,2020-11-13T13:44:02-06:00,TRUE,HLMBLY_003,35,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-helm-logo-cap-black-16591666348094.jpg?v=1605296841
HELM Logo Cap - Charcoal,4.76176E+12,helm-logo-cap-charcoal,HELM Boots,Accessories,2020-11-13T13:48:14-06:00,TRUE,HLMBLY_004,35,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-helm-logo-cap-charcoal-16591679127614.jpg?v=1605297086
Johnson Brown,4.58905E+12,johnson-brown,HELM,Boots,2020-06-10T12:41:33-05:00,FALSE,HBB902006,298,350,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-johnson-brown-16544093896766.jpg?v=1604516727
Johnson Burgundy,4.58908E+12,johnson-burgundy,HELM,Boots,2020-06-10T13:18:50-05:00,TRUE,HBB903006,298,350,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-johnson-burgundy-16282837876798.jpg?v=1600120558
Johnson Black,4.5877E+12,johnson-black,HELM,Boots,2020-06-09T14:35:59-05:00,FALSE,HBB901006,298,350,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-johnson-black-16282828668990.jpg?v=1600120249
Hollis Chocolate,4.58912E+12,hollis-chocolate,HELM,Boots,2020-06-10T14:08:10-05:00,TRUE,HBB507006,269,350,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-chocolate-16525152813118.jpg?v=1604082886
Pablo Teak,4.61443E+12,pablo-teak,HELM,Boots,2020-06-29T14:25:19-05:00,TRUE,HBB323006,350,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-pablo-teak-16446150180926.jpg?v=1602613849
HELM Logo Cap - Navy,1.95247E+12,helm-logo-cap-navy,HELM Boots,Accessories,2018-11-19T08:38:28-06:00,TRUE,HLMBLY_002,35,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-helm-logo-cap-navy-5814539845694.jpg?v=1543872092
The Charlie Rockford,4.59493E+12,charlie-rockford,HELM,Sneakers,2020-06-15T15:48:10-05:00,TRUE,HBB804007,225,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-brown-16337384308798.jpg?v=1600971382
The Charlie Chocolate,4.59493E+12,charlie-chocolate,HELM,Sneakers,2020-06-15T15:38:46-05:00,TRUE,HBB807007,225,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-chocolate-16337351147582.jpg?v=1600970924
Ryder Olive,4.59818E+12,ryder-olive,HELM,Boots,2020-06-18T13:24:06-05:00,TRUE,HBB223006,315,350,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-ryder-olive-16282800291902.jpg?v=1600119405
Ryder Dark Natural,4.59818E+12,ryder-dark-natural,HELM,Boots,2020-06-18T13:19:17-05:00,TRUE,HBB222006,315,350,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-ryder-dark-natural-16282795540542.jpg?v=1600119562
Death & Co. Ryder Black,4.59815E+12,ryder-black,HELM,Boots,2020-06-18T13:03:31-05:00,FALSE,HBB221006,350,,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-death-co-ryder-black-16383122309182.jpg?v=1601830527
The Bradley Grey,4.68632E+12,bradley-grey,HELM,Shoes,2020-08-05T10:20:58-05:00,TRUE,HBB307006,150,250,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-grey-15997388718142.jpg?v=1598379035
The Bradley Green,4.68632E+12,bradley-green,HELM,Shoes,2020-08-05T10:15:42-05:00,FALSE,HBB308006,150,250,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-green-15997362077758.jpg?v=1598379070
Nils Brown,4.45973E+12,nils-brown,HELM,Shoes,2020-03-12T12:02:08-05:00,TRUE,HBB605006,150,250,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-nils-brown-15040816316478.jpg?v=1590603398
